# high-temperature limit
# R: 7.5e-05 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
189.39394, -27.968771594029, -54.264572171837, -51.495607475968, 0.95221404854782
190.35533, -28.112980792159, -54.549632787398, -51.75365381508, 0.95238026722091
191.32653, -28.258663005568, -54.837618839853, -52.014230240382, 0.95254676872806
192.30769, -28.405840902251, -55.128575436877, -52.277374114454, 0.95271355478059
193.29897, -28.554537617638, -55.422548616882, -52.543123540362, 0.95288062710774
194.30052, -28.704776766715, -55.719585375326, -52.811517380427, 0.95304798746226
195.3125, -28.856582456502, -56.019733685303, -53.082595274761, 0.9532156376116
196.33508, -29.009979298943, -56.32304252752, -53.356397661372, 0.95338357934704
197.36842, -29.164992424189, -56.629561914635, -53.632965796137, 0.95355181447971
198.4127, -29.321647494311, -56.939342919472, -53.912341773724, 0.95372034484251
199.46809, -29.479970717448, -57.252437701462, -54.194568548901, 0.95388917228746
200.53476, -29.639988862406, -57.568899538814, -54.479689958978, 0.95405829869149
201.6129, -29.801729273734, -57.88878285551, -54.767750746341, 0.95422772595145
202.7027, -29.965219887281, -58.212143254084, -55.058796582144, 0.95439745598728
203.80435, -30.130489246272, -58.539037547211, -55.352874090584, 0.95456749074202
204.91803, -30.297566517898, -58.869523790804, -55.650030873949, 0.95473783218227
206.04396, -30.466481510461, -59.203661318177, -55.95031553845, 0.9549084822982
207.18232, -30.637264691087, -59.541510775376, -56.253777720906, 0.95507944310419
208.33333, -30.809947204024, -59.883134158091, -56.560468116331, 0.95525071664011
209.49721, -30.984560889561, -60.228594847668, -56.870438506185, 0.95542230496883
210.67416, -31.161138303581, -60.577957653057, -57.183741788001, 0.95559421018143
211.86441, -31.339712737773, -60.931288848179, -57.500432005425, 0.95576643439314
213.06818, -31.520318240541, -61.288656215277, -57.82056437967, 0.95593897974634
214.28571, -31.702989638623, -61.650129087616, -58.14419534181, 0.95611184841038
215.51724, -31.88776255946, -62.015778394521, -58.471382566247, 0.9562850425829
216.76301, -32.074673454339, -62.385676705794, -58.802185005076, 0.9564585644877
218.02326, -32.263759622341, -62.759898282473, -59.136662924034, 0.95663241637949
219.29825, -32.455059235136, -63.138519122865, -59.474877939116, 0.9568066005399
220.58824, -32.648611362646, -63.521617017116, -59.816893055014, 0.95698111928263
221.89349, -32.844455999623, -63.909271597264, -60.162772704302, 0.95715597494971
223.21429, -33.042634093174, -64.301564394215, -60.512582788456, 0.95733116991539
224.5509, -33.24318757128, -64.698578892478, -60.86639071989, 0.95750670658367
225.90361, -33.446159372337, -65.100400592138, -61.2242654659, 0.95768258739294
227.27273, -33.65159347578, -65.507117066432, -61.586277593605, 0.957858814812
228.65854, -33.859534933825, -65.918818028516, -61.95249931705, 0.95803539134533
230.06135, -34.070029904373, -66.335595394063, -62.323004545447, 0.95821231952992
231.48148, -34.283125685142, -66.757543351076, -62.697868933515, 0.95838960193804
232.91925, -34.498870749069, -67.184758430482, -63.077169933481, 0.95856724117795
234.375, -34.717314781031, -67.617339577634, -63.460986848841, 0.95874523989257
235.84906, -34.938508715965, -68.055388231378, -63.849400890437, 0.95892360076396
237.34177, -35.162504778427, -68.499008399908, -64.242495234091, 0.95910232651019
238.8535, -35.389356523661, -68.948306744447, -64.640355080789, 0.95928141988882
