# eps.py --omegap_low 9 --gamma_low 0.03 --omegap_high 54.475279 --gamma_high 211.48855 --description bulk gold gold/palik.csv
#
# This file contains the dielectric function epsilon(i*xi) for bulk gold
# input filename: gold/palik.csv
#
# Drude parameters for low frequencies:
# omegap_low = 9eV
# gamma_low = 0.03eV
#
# Drude parameters for high frequencies:
# omegap_high = 54.4753eV
# gamma_high = 211.489eV
#
# xi in rad/s	epsilon(i*xi)
3.37178006e+15	2.33398925e+01
3.43304404e+15	2.27000329e+01
3.49542116e+15	2.20810148e+01
3.55893166e+15	2.14821091e+01
3.62359611e+15	2.09026126e+01
3.68943550e+15	2.03418463e+01
3.75647116e+15	1.97991552e+01
3.82472483e+15	1.92739073e+01
3.89421865e+15	1.87654926e+01
3.96497514e+15	1.82733228e+01
4.03701726e+15	1.77968302e+01
4.11036835e+15	1.73354673e+01
4.18505220e+15	1.68887059e+01
4.26109304e+15	1.64560367e+01
4.33851550e+15	1.60369684e+01
4.41734470e+15	1.56310272e+01
4.49760620e+15	1.52377563e+01
4.57932602e+15	1.48567152e+01
4.66253066e+15	1.44874793e+01
4.74724710e+15	1.41296390e+01
4.83350280e+15	1.37827996e+01
4.92132574e+15	1.34465808e+01
5.01074438e+15	1.31206156e+01
5.10178773e+15	1.28045507e+01
5.19448530e+15	1.24980452e+01
5.28886716e+15	1.22007710e+01
5.38496389e+15	1.19124115e+01
5.48280667e+15	1.16326618e+01
5.58242722e+15	1.13612281e+01
5.68385783e+15	1.10978272e+01
5.78713140e+15	1.08421864e+01
5.89228141e+15	1.05940426e+01
5.99934195e+15	1.03531428e+01
6.10834775e+15	1.01192427e+01
6.21933414e+15	9.89210741e+00
6.33233712e+15	9.67151021e+00
6.44739331e+15	9.45723289e+00
6.56454003e+15	9.24906514e+00
6.68381527e+15	9.04680432e+00
6.80525769e+15	8.85025520e+00
6.92890667e+15	8.65922965e+00
7.05480231e+15	8.47354639e+00
7.18298543e+15	8.29303075e+00
7.31349758e+15	8.11751439e+00
7.44638110e+15	7.94683510e+00
7.58167905e+15	7.78083652e+00
7.71943532e+15	7.61936798e+00
7.85969457e+15	7.46228422e+00
8.00250228e+15	7.30944523e+00
8.14790475e+15	7.16071605e+00
8.29594913e+15	7.01596654e+00
8.44668342e+15	6.87507124e+00
8.60015649e+15	6.73790915e+00
8.75641811e+15	6.60436359e+00
8.91551895e+15	6.47432204e+00
9.07751059e+15	6.34767595e+00
9.24244556e+15	6.22432059e+00
9.41037734e+15	6.10415494e+00
9.58136037e+15	5.98708152e+00
9.75545010e+15	5.87300626e+00
9.93270298e+15	5.76183836e+00
1.01131765e+16	5.65349017e+00
1.02969291e+16	5.54787710e+00
1.04840204e+16	5.44491744e+00
1.06745112e+16	5.34453233e+00
1.08684630e+16	5.24664557e+00
1.10659389e+16	5.15118359e+00
1.12670029e+16	5.05807529e+00
1.14717201e+16	4.96725200e+00
1.16801570e+16	4.87864735e+00
1.18923811e+16	4.79219721e+00
1.21084612e+16	4.70783959e+00
1.23284674e+16	4.62551456e+00
1.25524710e+16	4.54516418e+00
1.27805447e+16	4.46673244e+00
1.30127624e+16	4.39016515e+00
1.32491995e+16	4.31540992e+00
1.34899325e+16	4.24241605e+00
1.37350395e+16	4.17113451e+00
1.39846000e+16	4.10151785e+00
1.42386949e+16	4.03352016e+00
1.44974067e+16	3.96709699e+00
1.47608192e+16	3.90220533e+00
1.50290177e+16	3.83880354e+00
1.53020893e+16	3.77685132e+00
1.55801226e+16	3.71630963e+00
1.58632076e+16	3.65714066e+00
1.61514361e+16	3.59930781e+00
1.64449017e+16	3.54277563e+00
1.67436994e+16	3.48750976e+00
1.70479261e+16	3.43347693e+00
1.73576805e+16	3.38064491e+00
1.76730631e+16	3.32898245e+00
1.79941760e+16	3.27845928e+00
1.83211235e+16	3.22904607e+00
1.86540114e+16	3.18071439e+00
1.89929478e+16	3.13343668e+00
1.93380426e+16	3.08718622e+00
1.96894076e+16	3.04193712e+00
2.00471567e+16	2.99766427e+00
2.04114061e+16	2.95434334e+00
2.07822737e+16	2.91195071e+00
2.11598798e+16	2.87046351e+00
2.15443469e+16	2.82985954e+00
2.19357996e+16	2.79011728e+00
2.23343649e+16	2.75121587e+00
2.27401719e+16	2.71313505e+00
2.31533523e+16	2.67585519e+00
2.35740401e+16	2.63935725e+00
2.40023716e+16	2.60362275e+00
2.44384857e+16	2.56863378e+00
2.48825238e+16	2.53437294e+00
2.53346299e+16	2.50082338e+00
